Price_CALL;Strike;Price_PUT
478.1;3675;100.3
457.6;3700;104.9
437.4;3725;109.8
417.4;3750;115.3
397.8;3775;123.7
378.4;3800;126.3
359.4;3825;135.5
340.4;3850;138.3
321.9;3875;144.8
303.7;3900;151.7
285.9;3925;158.9
268.5;3950;170.5
251.5;3975;178.6
231.2;4000;182.8
218.7;4025;191.7
202.9;4050;201.1
187.7;4075;210.9
173.1;4100;221.3
155.6;4125;232.2
145.3;4150;243.7
132.4;4175;255.8
120;4200;268.4
108.4;4225;281.9
97.2;4250;295.9
87;4275;310.6
77.3;4300;326
68.3;4325;342
60.3;4350;358.9
50.7;4375;376.4
44;4400;394.8
39.9;4425;413.6
