"CALL","Filtri","PUT"
"03-06-2022","27-05-2022","20-05-2022","13-05-2022","06-05-2022","Strike","06-05-2022","13-05-2022","20-05-2022","27-05-2022","03-06-2022"
"2.772,3","2.774,5","2.783,0","2.790,6","2.800,2","1000","0,1","0,1","0,1","0,1","0,1"
"","","2.733,0","","","1050","","","0,1","",""
"2.672,3","2.674,5","2.682,9","2.690,6","2.700,2","1100","0,1","0,1","0,1","0,1","0,1"
"","","2.632,9","","","1150","","","0,1","",""
"2.572,2","2.574,4","2.582,9","2.590,5","2.600,2","1200","0,1","0,1","0,1","0,1","0,1"
"","","2.532,9","","","1250","","","0,1","",""
"2.472,1","2.474,4","2.482,8","2.490,5","2.500,1","1300","0,1","0,1","0,1","0,1","0,1"
"","","2.432,8","","","1350","","","0,1","",""
"2.372,1","2.374,3","2.382,8","2.390,5","2.400,1","1400","0,1","0,1","0,1","0,1","0,1"
"","","2.332,8","","","1450","","","0,1","",""
"2.272,0","2.274,3","2.282,8","2.290,4","2.300,1","1500","0,1","0,1","0,1","0,1","0,1"
"","","2.232,7","","","1550","","","0,1","",""
"2.172,0","2.174,2","2.182,7","2.190,4","2.200,1","1600","0,1","0,1","0,1","0,1","0,1"
"","","2.132,7","","","1650","","","0,1","",""
"2.072,0","2.074,2","2.082,7","2.090,4","2.100,0","1700","0,1","0,1","0,1","0,1","0,1"
"","","2.032,6","","","1750","","","0,1","",""
"1.972,0","1.974,1","1.982,6","1.990,3","2.000,0","1800","0,1","0,1","0,1","0,1","0,2"
"","","1.932,6","","","1850","","","0,1","",""
"1.872,0","1.874,2","1.882,6","1.890,3","1.900,0","1900","0,1","0,1","0,1","0,1","0,3"
"","","1.832,6","","","1950","","","0,1","",""
"1.772,1","1.774,2","1.782,6","1.790,3","1.800,0","2000","0,1","0,1","0,1","0,2","0,4"
"","","1.757,6","","","2025","","","0,1","",""
"","","1.732,6","","","2050","","","0,1","",""
"","","1.707,6","","","2075","","","0,1","",""
"1.672,2","1.674,3","1.682,6","1.690,3","1.700,0","2100","0,1","0,1","0,1","0,4","0,6"
"","","1.657,6","","","2125","","","0,1","",""
"","","1.632,6","","","2150","","","0,1","",""
"","","1.607,6","","","2175","","","0,1","",""
"1.572,4","1.574,4","1.582,6","1.590,3","1.599,9","2200","0,1","0,1","0,2","0,5","0,9"
"","","1.557,7","","","2225","","","0,2","",""
"","","1.532,7","","","2250","","","0,3","",""
"","","1.507,7","","","2275","","","0,3","",""
"1.472,7","1.474,6","1.482,7","1.490,3","1.499,9","2300","0,1","0,1","0,3","0,8","1,2"
"","","1.457,7","","","2325","","","0,4","",""
"","","1.432,8","","","2350","","","0,4","",""
"","","1.407,8","","","2375","","","0,4","",""
"1.373,0","1.374,9","1.382,8","1.390,4","1.399,9","2400","0,1","0,2","0,5","1,1","1,6"
"","","1.357,9","","","2425","","","0,5","",""
"","","1.332,9","","","2450","","","0,6","",""
"","","1.308,0","","","2475","","","0,7","",""
"1.273,6","1.275,3","1.283,0","1.290,5","1.300,0","2500","0,1","0,4","0,7","1,5","2,2"
"","","1.258,1","","1.275,0","2525","0,1","","0,8","",""
"","","1.233,2","","1.250,0","2550","0,2","","0,9","",""
"","","1.208,2","","1.225,0","2575","0,2","","1,0","",""
"1.174,3","1.175,8","1.183,3","1.190,6","1.200,0","2600","0,2","0,6","1,1","2,1","3,1"
"","","1.158,4","","1.175,1","2625","0,2","","1,2","",""
"","","1.133,5","1.140,8","1.150,1","2650","0,2","0,7","1,3","",""
"","","1.108,6","1.115,8","1.125,1","2675","0,3","0,8","1,4","",""
"1.075,4","1.076,6","1.083,8","1.090,9","1.100,1","2700","0,3","0,9","1,5","3,0","4,2"
"","","1.058,9","1.066,0","1.075,2","2725","0,3","0,9","1,7","",""
"","","1.034,1","1.041,1","1.050,2","2750","0,4","1,0","1,9","",""
"","","1.009,2","1.016,2","1.025,2","2775","0,4","1,2","2,0","",""
"976,8","977,6","984,4","991,3","1.000,3","2800","0,5","1,3","2,2","4,1","5,6"
"952,2","952,9","959,6","966,4","975,3","2825","0,5","1,4","2,4","4,4","6,1"
"927,7","928,2","934,8","941,6","950,4","2850","0,6","1,6","2,7","4,7","6,6"
"903,2","903,6","910,1","916,7","925,4","2875","0,7","1,7","2,9","5,1","7,1"
"878,7","878,9","885,3","891,9","900,5","2900","0,7","1,9","3,2","5,4","7,7"
"854,3","854,3","860,6","867,1","875,6","2925","0,8","2,1","3,5","5,8","8,3"
"830,0","829,7","835,9","842,3","850,7","2950","0,9","2,4","3,8","6,2","8,9"
"805,7","805,1","811,3","817,5","825,8","2975","1,0","2,6","4,2","6,7","9,7"
"781,4","780,6","786,6","792,8","800,9","3000","1,2","2,9","4,5","7,2","10,4"
"757,3","756,1","762,1","768,1","776,0","3025","1,3","3,2","5,0","7,7","11,3"
