"DJ EUROSTOXX50 SET22
                              DJ EUROSTOXX50 GIU22DJ EUROSTOXX50 SET22FTSE MIB INDEX FUTURE GIU22FTSE MINI INDEX FUTURE GIU22FTSE MIB INDEX FUTURE SET22FTSE MINI INDEX FUTURE SET22","Qta
							  ·","Prz Carico
						      ·","3.660
                                    +2,18%","18
                                                Bid
                                            
                                            3.658
										
                                        
                                            
                                                Ask
                                                20
											
                                            3.662","","","","",""
"CALL","Filtri","PUT"
"Pf","Delta","","Bid","","Ask","","Prezzo","17:21:05","Prezzo","","Bid","","Ask","","Delta","Pf"
"","Stima sottostante","3.660","16-09-2022","Giorni a scadenza","90",""
"","Stima sottostante","·","16-09-2022","Giorni a scadenza","90",""
"","0,9517","250","1.180,5","1.185,8","1.191,1","250","·","2500","·","800","23,1","23,6","24,0","800","-0,0483",""
"","0,9477","250","1.156,9","1.162,2","1.167,4","250","·","2525","·","800","24,1","24,6","25,0","600","-0,0523",""
"","0,9456","250","1.132,8","1.138,0","1.143,3","250","·","2550","·","775","25,2","25,6","26,1","575","-0,0544",""
"","0,9434","250","1.109,5","1.114,8","1.120,0","250","·","2575","·","775","26,3","26,8","27,2","775","-0,0566",""
"","0,9431","250","1.085,7","1.091,0","1.096,2","250","·","2600","·","775","27,5","27,9","28,3","575","-0,0569",""
"","0,9383","250","1.061,8","1.067,0","1.072,3","250","·","2625","30,5","575","28,7","29,1","29,6","775","-0,0617",""
"","0,9355","250","1.038,1","1.043,3","1.048,5","250","·","2650","·","550","30,1","30,5","30,9","750","-0,0645",""
"","0,9324","250","1.014,1","1.019,8","1.024,9","250","·","2675","33,1","550","31,4","31,8","32,3","750","-0,0676",""
"","0,9289","219","994,0","996,0","998,1","250","·","2700","34,6","550","32,8","33,3","33,7","750","-0,0711",""
"","0,9252","205","970,5","972,5","974,5","234","·","2725","36,5","550","34,4","34,8","35,3","750","-0,0748",""
"","0,9210","225","947,0","949,0","951,1","238","·","2750","·","525","36,1","36,5","36,9","725","-0,0790",""
"","0,9167","225","923,7","925,8","927,9","446","·","2775","·","101","37,8","38,2","38,6","725","-0,0833",""
"","0,9147","225","900,5","902,5","904,6","225","·","2800","43,1","101","39,6","40,0","40,5","725","-0,0853",""
"","0,9082","225","877,3","879,3","881,4","205","·","2825","·","101","41,3","41,8","42,4","725","-0,0918",""
"","0,9064","250","854,4","856,4","858,4","225","·","2850","46,3","200","43,3","43,8","44,3","400","-0,0936",""
"","0,8994","458","831,4","833,5","835,5","225","·","2875","·","101","45,6","46,0","46,5","500","-0,1006",""
