delta,volume,bid,median_price,ask,open_interest,price,strike,option_type,insert_date,update_time,expiration_date
"0,9575",,,"1280,5",,,,2500.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,9539",,,"1256,5",,,,2525.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,9516",,,"1232,6",,,,2550.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,9492",,,"1208,8",,,,2575.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,9480",,,1185,,,,2600.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,9439",,,"1161,3",,,,2625.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,9407",,,"1137,6",,,,2650.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,9375",,,1114,,,,2675.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,9340",,,"1090,4",,,,2700.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,9307",,,1067,,,,2725.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,9277",,,"1043,6",,,,2750.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,9245",,,"1020,3",,,,2775.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,9231",,,997,,,,2800.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,9174",,,"973,9",,,,2825.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,9156",,,"950,9",,,,2850.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,9094",,,"927,9",,,,2875.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,9066",,,"905,1",,,,2900.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8999",,,"882,4",,,,2925.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8963",,,"859,8",,,,2950.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8891",,,"837,3",,,,2975.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8853",,,815,,,,3000.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8778",,,"792,8",,,,3025.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8724",,,"770,7",,,,3050.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8667",,,"748,8",,,,3075.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8632",,,"726,9",,,,3100.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8543",,,"705,3",,,,3125.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8494",,,"683,8",,,,3150.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8401",,,"662,4",,,,3175.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8377",,,"641,2",,,,3200.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8277",,,"620,1",,,,3225.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8170",,,"599,2",,,,3250.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8062",,,"578,5",,,,3275.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8828",,,558,,,,3300.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8703",,,"537,7",,,,3325.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8572",,,"517,6",,,,3350.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8433",,,"497,6",,,,3375.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8284",,,"477,9",,,,3400.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,8130",,,"458,4",,,,3425.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
"0,7967",,,"439,1",,,,3450.0,C,2022-04-24,2022-04-24 18:28:47.514736,SET22
